LAST SEEN   TYPE      REASON                    OBJECT                                   MESSAGE
51m         Normal    Created                   pod/millo-workers-54ff4d94cc-hl7mh       Container created
50m         Normal    Created                   pod/millo-api-6c8f6c4f7d-bm84f           Container created
28m         Normal    Pulled                    pod/millo-nginx-rtmp-55fc4dd5cb-jvpj8    Container image "millo/nginx-rtmp:latest" already present on machine and can be accessed by the pod
27m         Warning   BackOff                   pod/millo-nginx-rtmp-55fc4dd5cb-jvpj8    Back-off restarting failed container nginx-rtmp in pod millo-nginx-rtmp-55fc4dd5cb-jvpj8_millo(0a1cfbdd-97c9-4270-bce7-a642008c39eb)
25m         Normal    ScalingReplicaSet         deployment/millo-nginx-rtmp              Scaled down replica set millo-nginx-rtmp-55fc4dd5cb from 1 to 0
25m         Normal    SuccessfulDelete          replicaset/millo-nginx-rtmp-55fc4dd5cb   Deleted pod: millo-nginx-rtmp-55fc4dd5cb-jvpj8
18m         Normal    ScalingReplicaSet         deployment/janus                         Scaled up replica set janus-75d997d488 from 0 to 1
18m         Normal    SuccessfulCreate          replicaset/janus-75d997d488              Created pod: janus-75d997d488-c26zl
17m         Normal    ScalingReplicaSet         deployment/millo-nginx-rtmp              Scaled up replica set millo-nginx-rtmp-58f947ffb8 from 0 to 1
17m         Normal    SuccessfulCreate          replicaset/millo-nginx-rtmp-58f947ffb8   Created pod: millo-nginx-rtmp-58f947ffb8-m6wm9
12m         Warning   BackOff                   pod/millo-api-6c8f6c4f7d-bm84f           Back-off restarting failed container api in pod millo-api-6c8f6c4f7d-bm84f_millo(ea292ff1-876d-455b-a0c0-06c71638fa9b)
12m         Warning   BackOff                   pod/millo-api-7fbbfb8896-spw7s           Back-off restarting failed container api in pod millo-api-7fbbfb8896-spw7s_millo(133c8ac0-a7ce-409b-9032-1f74fc1e0c38)
11m         Warning   BackOff                   pod/millo-api-6c8f6c4f7d-tgllp           Back-off restarting failed container api in pod millo-api-6c8f6c4f7d-tgllp_millo(5a8bc7cc-8ec8-4367-92e2-1ab0b362d93a)
11m         Warning   BackOff                   pod/millo-api-7fbbfb8896-bsjhs           Back-off restarting failed container api in pod millo-api-7fbbfb8896-bsjhs_millo(c6aaf8b8-b065-4018-aafa-af6b175895cb)
11m         Warning   BackOff                   pod/millo-api-7fbbfb8896-hg9rf           Back-off restarting failed container api in pod millo-api-7fbbfb8896-hg9rf_millo(f89f577d-7c80-4140-8f44-574c943f6d67)
11m         Normal    Pulled                    pod/janus-7cbc665fcc-98prc               Container image "docker.io/library/millo-janus:latest" already present on machine and can be accessed by the pod
10m         Warning   BackOff                   pod/millo-workers-54ff4d94cc-hl7mh       Back-off restarting failed container workers in pod millo-workers-54ff4d94cc-hl7mh_millo(2f13a257-eaa6-4c2b-933c-a0d9fa81dcff)
10m         Normal    Pulled                    pod/millo-api-6c8f6c4f7d-tgllp           Container image "docker.io/library/millo-api-gateway:latest" already present on machine and can be accessed by the pod
10m         Normal    Pulled                    pod/millo-api-7fbbfb8896-hg9rf           Container image "docker.io/library/millo-api-gateway:latest" already present on machine and can be accessed by the pod
10m         Normal    Pulled                    pod/millo-api-7fbbfb8896-spw7s           Container image "docker.io/library/millo-api-gateway:latest" already present on machine and can be accessed by the pod
9m53s       Normal    Pulled                    pod/millo-api-6c8f6c4f7d-bm84f           Container image "docker.io/library/millo-api-gateway:latest" already present on machine and can be accessed by the pod
9m50s       Normal    Pulled                    pod/millo-workers-54ff4d94cc-hl7mh       Container image "docker.io/millo/workers:latest" already present on machine and can be accessed by the pod
9m43s       Normal    Started                   pod/millo-api-6c8f6c4f7d-rqjpf           Container started
9m43s       Warning   BackOff                   pod/millo-api-6c8f6c4f7d-rqjpf           Back-off restarting failed container api in pod millo-api-6c8f6c4f7d-rqjpf_millo(e0f3086a-43af-49eb-b5df-01e8c5388214)
9m43s       Normal    Pulled                    pod/millo-api-6c8f6c4f7d-rqjpf           Container image "docker.io/library/millo-api-gateway:latest" already present on machine and can be accessed by the pod
9m43s       Normal    Created                   pod/millo-api-6c8f6c4f7d-rqjpf           Container created
9m21s       Normal    Pulled                    pod/millo-api-7fbbfb8896-bsjhs           Container image "docker.io/library/millo-api-gateway:latest" already present on machine and can be accessed by the pod
8m7s        Normal    SuccessfulCreate          replicaset/millo-api-7fbbfb8896          Created pod: millo-api-7fbbfb8896-5zctp
8m7s        Normal    SuccessfulCreate          replicaset/millo-api-7fbbfb8896          Created pod: millo-api-7fbbfb8896-5bgsj
8m7s        Normal    SuccessfulCreate          replicaset/millo-api-7fbbfb8896          Created pod: millo-api-7fbbfb8896-vln79
8m7s        Normal    SuccessfulCreate          replicaset/millo-api-6c8f6c4f7d          Created pod: millo-api-6c8f6c4f7d-d9bz6
8m7s        Normal    SuccessfulCreate          replicaset/millo-api-6c8f6c4f7d          Created pod: millo-api-6c8f6c4f7d-kvzkb
8m7s        Normal    SuccessfulCreate          replicaset/millo-api-6c8f6c4f7d          Created pod: millo-api-6c8f6c4f7d-wkv4m
8m4s        Normal    Created                   pod/millo-api-6c8f6c4f7d-d9bz6           Container created
8m4s        Normal    SuccessfulCreate          replicaset/millo-workers-54ff4d94cc      Created pod: millo-workers-54ff4d94cc-p697p
8m4s        Normal    Pulled                    pod/millo-api-6c8f6c4f7d-d9bz6           Container image "docker.io/library/millo-api-gateway:latest" already present on machine and can be accessed by the pod
8m3s        Normal    Started                   pod/millo-api-6c8f6c4f7d-d9bz6           Container started
7m56s       Warning   BackOff                   pod/millo-api-6c8f6c4f7d-d9bz6           Back-off restarting failed container api in pod millo-api-6c8f6c4f7d-d9bz6_millo(e3a9b3fc-3510-4f63-a345-eb9687aff6a7)
7m54s       Normal    ScalingReplicaSet         deployment/millo-api                     Scaled up replica set millo-api-66bdb6c667 from 0 to 1
7m54s       Normal    SuccessfulCreate          replicaset/millo-api-66bdb6c667          Created pod: millo-api-66bdb6c667-h289m
7m54s       Normal    ScalingReplicaSet         deployment/millo-workers                 Scaled up replica set millo-workers-79f5ccb6cc from 0 to 1
7m54s       Normal    SuccessfulCreate          replicaset/millo-workers-79f5ccb6cc      Created pod: millo-workers-79f5ccb6cc-pvggx
7m54s       Normal    SuccessfulDelete          replicaset/millo-api-6c8f6c4f7d          Deleted pod: millo-api-6c8f6c4f7d-d9bz6
7m54s       Normal    ScalingReplicaSet         deployment/millo-api                     Scaled down replica set millo-api-6c8f6c4f7d from 3 to 2
7m17s       Normal    Started                   pod/millo-workers-54ff4d94cc-p697p       Container started
7m17s       Normal    Created                   pod/millo-workers-54ff4d94cc-p697p       Container created
7m17s       Normal    Pulled                    pod/millo-workers-54ff4d94cc-p697p       Container image "docker.io/millo/workers:latest" already present on machine and can be accessed by the pod
7m16s       Warning   BackOff                   pod/millo-workers-54ff4d94cc-p697p       Back-off restarting failed container workers in pod millo-workers-54ff4d94cc-p697p_millo(d60344c5-65c3-4f96-93ed-2ddf2db234bd)
6m59s       Warning   BackOff                   pod/janus-7cbc665fcc-98prc               Back-off restarting failed container janus in pod janus-7cbc665fcc-98prc_millo(042b36a3-a18e-41c1-9bb6-4356288b2d0c)
6m30s       Normal    ScalingReplicaSet         deployment/janus                         Scaled down replica set janus-7cbc665fcc from 1 to 0
